,comments,Positive,Neutral,Negative,Compound
0,Good except for delivery issue. ,0.385,0.615,0.0,0.3612
1,Abt 3 weeks to receive. Very nice planter! ,0.3145,0.6855,0.0,0.2622
2,"As advertised! Looking good!
Although the shipping took a month, but I guess it’s because of the lunar new year month. ",0.24533333333333332,0.7546666666666667,0.0,0.13996666666666666
3,The base was uneven and I had to paste the furniture bottom rounds to even it out. ,0.0,1.0,0.0,0.0
4,Delivery almost 1 months. But good quality for the marble side table. Awesome 👏🏻 ,0.3556666666666667,0.6443333333333333,0.0,0.3287
5,Arrived in good shape. Compact and has nice sheen.,0.4335,0.5665,0.0,0.39135
6,"Delivery took some time due to from overseas 
Metal is Bit thin. Hope can hold the weight of pot",0.163,0.837,0.0,0.2202
7,"Very nice plant rack, delivery took 3 weeks but worth the wait! :) thank you seller! Plant rack came with bubble wrap.",0.362,0.638,0.0,0.4232666666666667
8,Seller very patient and will to help if you have any question. Thrumb up and happy with the product also . Cheers ,0.5143333333333333,0.4856666666666667,0.0,0.4835
9,Top class service. Received in good condition and fast. Hope to buy again,0.433,0.5670000000000001,0.0,0.33463333333333334
10,Fast delivery very satisfied thanks seller. Will recommend ,0.6625,0.3375,0.0,0.551
11,Ordered on 2 Dec and received in good condition on 12 Dec. Of good quality.,0.294,0.706,0.0,0.6124
12,Not bad but have to fix urself. Understandably since the price ,0.1215,0.8785000000000001,0.0,0.11615
13,"Item received as ordered in good condition. Second buy, happy purchsed",0.42300000000000004,0.577,0.0,0.46655
14,"This item is perfect for my room! It matches the other furniture so well and perfect size. Material is also very solid and looks amazing, thank you so much. 😍",0.33325,0.41675,0.0,0.5462750000000001
15,Good quality,0.714,0.286,0.0,0.3612
16,"Good in quality, Color nice, very nice fit to windows grill, great to grap this for season decorations 👍🤗",0.517,0.483,0.0,0.9322
17,received in good condition,0.455,0.545,0.0,0.3612
18,I love the table... its real marble top!!! Worth buying!! Seller is very responsive and helpful!,0.6196666666666667,0.38033333333333336,0.0,0.5987333333333333
19,Nice product. Fixed well. But got some scratches Will recommend to friends. Thanks,0.7242500000000001,0.27575,0.0,0.453975
20,Quality is very bad. It came bend and cannot bw use. Will defintely not buy again. Not good. ,0.0,0.6910000000000001,0.30900000000000005,-0.2151
21,Good quality and sturdy. Pity the hook is a bit too small for my balcony metal support. But overall a good product. Highly recommended. ,0.442,0.521,0.037,0.2805
22,"Good buy. One of the rack is uneven. Still usable.
Planning to get more.",0.1785,0.8215,0.0,0.0903
23,"Nice, will consider buy again",0.412,0.588,0.0,0.4215
24,"One of them is chipped. Other than that, it looks lovely after I placed my plant on it. Going to buy more and the seller agree that he will replace the chipped one. Dear seller, pls remember 🙂. ",0.2435,0.7565,0.0,0.346875
25,Items received within delivery schedule.,0.0,1.0,0.0,0.0
26,"Quite big for S size, but it’s always better to be bigger than smaller! ",0.257,0.743,0.0,0.63
27,Ordered on 30 Oct and received in good condition on 9 Nov. Of good quality.,0.294,0.706,0.0,0.6124
28,"Well received. They're very light, hope it's strong. Can only hang on the square bar not the round bar in order to avoid a slant in the holder. Size is suitable for small pot only. ",0.32375,0.649,0.02725,0.1834
29,Good product👍🏻,0.714,0.286,0.0,0.3612
30,It’s good but somehow not fitting in my balcony so tied through rope,0.127,0.873,0.0,0.1901
31,I received the item very bad quality can’t use direct to throw away. 😬,0.0,0.372,0.128,-0.29245
32,"very good, can fit a 22cm diameter pot.",0.526,0.474,0.0,0.6764
33," fast delivery, parcel well protected. Very good buy. ",0.604,0.396,0.0,0.51625
34,Bought it at $2.4. Too bad price has increased by 4 times now so will buy from other sellers.,0.0595,0.841,0.0995,-0.17
35,Brought 2.. 1 of the hook is slightly dent.. Overall for the price is acceptable.. ,0.0,1.0,0.0,0.0
36,Very nice flower stand ,0.508,0.492,0.0,0.4754
37,product came individually bubble wrapped. Good quality. ,0.357,0.643,0.0,0.1806
38,Item received as described. Pretty decent quality. Some minor chipped paint that does not affect function. Overall I’m satisfied. Delivery via roadbull.. ,0.23959999999999998,0.7604,0.0,0.18308
39,"Item received in good condition, happy purchased. will buy again.",0.277,0.723,0.0,0.36755
40,Received in good conditions quite big and nice.,0.481,0.519,0.0,0.6771
41,"I like it,  cheap and good",0.625,0.375,0.0,0.6124
42,"Received in good condition and metal seemed to be thinner compared to what we have.
Delivery is considered acceptable at 7 to 9 days",0.21450000000000002,0.7855,0.0,0.3397
43,"Really nice flower pot holders with pretty leaf motifs. The goods were well packed and protected. What was really great was that delivery was Super fast, like 5 days! Price was very good . Would certainly buy more",0.4902,0.5098,0.0,0.60338
44,Very gd...nice but i break away the metal coz doesnt fit nw very fit n gd,0.0,0.692,0.308,-0.652
45,Item received good! Thanks! ,0.7915,0.2085,0.0,0.45625
46,Good product.,0.714,0.286,0.0,0.3612
47,Item received in gd condition but the metal is thin as compared to the one I bought in sg. ,0.0,1.0,0.0,0.0
48,"Looks not bad, need to be hooked onto a round handle railing... Thank you..!",0.479,0.521,0.0,0.42545
49,Item is quite steady and not heavy. Would consider getting in another colour. ,0.0,1.0,0.0,0.0
50,Delivery took some time as it is shipped from China.  Bubbled wrapped. Sturdy solid metal.  Hope it can withstand the harsh sun and rain. ,0.16775,0.77575,0.05675,0.038275
51,Good item.fast delivery.,0.556,0.444,0.0,0.3612
52,Received with good conditions ,0.455,0.545,0.0,0.3612
53,"The stand looks good! Hope they are durable. Fast delivery, thank you😊 ",0.47633333333333333,0.5236666666666667,0.0,0.4071666666666667
54,The quality quite good.  Solid...but no so suitable for my railing.,0.241,0.625,0.134,0.062049999999999994
55,Item received pretty fast but items came sligtly slanted despite bubble wrapped. ,0.16,0.84,0.0,0.2732
56,"Received 7 days after ordering.

Feels pretty good, 500ml bottle includedfor scale.",0.2665,0.7335,0.0,0.3454
57,Fast 10-day delivery during China national holiday.  Delivery  guy left parcel at the wrong unit but acted promptly when advise to make amends. Frame was slanted but managed to straighten a little with some force..luckily didn't break😅,0.10333333333333333,0.8566666666666667,0.04,0.04673333333333333
58,"You can see what I wanna say. It is very good and big. I like it a lot, I will buy 2 more",0.23033333333333333,0.7696666666666667,0.0,0.26043333333333335
59,Good condition,0.714,0.286,0.0,0.3612
60,Good condition,0.714,0.286,0.0,0.3612
61,"Unlike my previous purchase from another seller, this product came with some paint chipped and without cap covers at the end of the two hanging metal part. Overall still usable.",0.0,1.0,0.0,0.0
62,Received within about 1 week. this is my 2nd buy. fixed my pot size,0.0,1.0,0.0,0.0
63,Received. Parcel was left hanging on my gate. ,0.0,1.0,0.0,0.0
64,received. fix nicely for my small pot. wrapped with bubble wrap when delivered ,0.12233333333333334,0.8776666666666667,0.0,0.1468
65,"Received in less than 1 week, good considering shipping from CN. The base plate was less solid than expected, hope it’s durable for use to withstand heavy clay flower pot. Seems like a thin pc of base plate. Definitely much cheaper than local retail stall.",0.24375,0.70875,0.04725,0.346675
66,Received in good condition and delivery is fast. Fixed with my pot exactly and love it. ,0.2885,0.7115,0.0,0.42755
